AA,American Airlines
AC,Air Canada
AD,Azul Airlines
AF,Air France
AM,Aeroméxico
AK,AirAsia
AR,Aerolineas Argentinas
AS,Alaska Airlines
AT,Royal Air Maroc
AV,Aviatsa
AY,Finnair
AZ,Alitalia
BA,British Airways
B6,Jetblue Airways
BT,Air Baltic
CA,Air China
CI,China Airlines
CM,Copa Airlines
CX,Cathay Pacific
CZ,China Southern Airlines
DL,Delta Air Lines
DY,Norwigian Air Shuttle
EK,Emirates
ET,Ethiopian Airlines
EY,Etihad Airways
F9,Frontier Airlines
FZ,FlyDubai
G3,Gol Linhas Aéreas
GA,Garuda Indonesia
HA,Hawaiian Airlines
HU,Hainan Airlines
IB,Iberia
JL,Japan Airlines
KE,Korean Air
KL,KLM Royal Dutch Airlines
LA,Latam Airlines
LH,Lufthansa
LO,Lot Polish Airlines
LY,El Al Israel Airlines
MH,Malaysia Airlines
MS,EgyptAir
MU,China Eastern Airlines
NH,All Nippon Airways
NZ,Air New Zealand
OS,Austrian Airlines
OU,Croatia Airlines
PD,Porter Airlines
PG,Bangkok Airways
PR,Philippine Airlines
QF,Qantas Airways
QG,Citilink
QR,Qatar Airways
RJ,Royal Jordanian
SK,Sas Scandinavian Airlines
SN,Brussels Airlines
SQ,Singapore Airlines
SU,AeroFlot
SY,Sun Country Airlines
TA,Taca Airlines
TK,Turkish Airlines
TP,Tap Air Portugal
TS,Air Transat
TU,Tunisair
UA,United Airlines
U2,EasyJet
UL,Srilanka Airlines
UX,Air Europa
VA,Virgin Australia
VN,Vietnam Airlines
VY,Vueling Airlines
W6,Wizz Air
WN,Southwest Airlines
WS,WestJet
X3,TuIfly
Y4,Volaris
ZF,Azur Air
