AAA,Anaa
AAB,Arrabury 
AAC,El Arish 
AAD,Adado 
AAE,Les Salines 
AAF,Apalachicola Regional
AAG,Arapoti
AAH,Aachen/Merzbruck
AAI,Arraias
AAJ,Cayana Airstrip
AAK,Aranuka
AAL,Aalborg 
AAM,Mala Mala
AAN,Al Ain 
AAO,Anaco
AAP,Andrau Airpark
AAQ,Anapa 
AAR,Aarhus 
AAS,Apalapsili
AAT,Altay 
AAU,Asau
AAV,Allah Valley
AAW,Abbottabad
AAX,Araxa 
AAY,Al Ghaydah
AAZ,Quetzaltenango
ABA,Abakan 
ABB,Asaba 
ABC,Los Llanos
ABD,Abadan 
ABE,Lehigh Valley 
ABF,Abaiang
ABG,Abingdon
ABH,Alpha
ABI,Abilene Regional 
ABJ,Abidjan
ABK,Kabri Dar
ABL,Ambler 
ABM,Northern Peninsula 
ABN,Albina
ABO,Aboisso
ABP,Atkamba
ABQ,Albuquerque Sunport
ABR,Aberdeen Municipal 
ABS,Abu Simbel
ABT,Al-Aqiq 
ABU,Haliwen 
ABV,Nnamdi Azikiwe 
ABW,Abau
ABX,Albury 
ABY,Southwest Georgia Regional 
ABZ,Aberdeen 
ACA,Acapulco 
ACB,Antrim County
ACC,Kotoka 
ACD,Acandi
ACE,Lanzarote 
ACF,Alaer Talimu 
ACH,Altenrhein 
ACI,Alderney 
ACJ,Anuradhapura
ACK,Nantucket Memorial 
ACL,Aguaclara
ACM,Arica
ACN,International
ACO,Cobano 
ACP,Sahand
ACR,Araracuara
ACS,Achinsk
ACT,Waco Municipal 
ACU,Achutupo
ACV,Arcata-Eureka 
ACX,Xingyi 
ACY,Atlantic City 
ACZ,Zabol 
ADA,Adana 
ADB,Izmir 
ADC,Andakombe
ADD,Addis Ababa
ADE,International
ADF,Adiyaman 
ADG,Lenawee County
ADH,Aldan
ADI,Arandis
ADJ,Marka 
ADK,Adak Island Ns
ADL,Adelaide 
ADM,Ardmore Municipal 
ADN,Andes
ADO,Andamooka
ADP,Ampara
ADQ,Kodiak Benny Benson State 
ADR,Andrews
ADS,Addison 
ADT,Ada Municipal
ADU,Ardabil 
ADV,El Daein
ADW,Andrews AFB
ADX,Leuchars
ADY,Alldays
ADZ,Gustavo Rojas Pinilla 
AEA,Abemama Atoll
AEB,Youjiang
AED,Aleneva
AEE,Adareil 
AEG,Aek Godang
AEH,Abi©chi©
AEI,Alger
AEK,Aseki
AEL,Albert Lea
AEM,Amgu
AEO,Aioun El Atrouss
AEP,Jorge Newbery 
AEQ,Ar Horqin 
AER,Sochi 
AES,Vigra Alesund 
AET,Allakaket
AEU,Abu Musa
AEX,Alexandria 
AEY,Akureyri 
AFA,San Rafael 
AFD,Port Alfred
AFF,USAF Academy Airstrip
AFI,Amalfi
AFK,Ampara Kondavattavan Tank 
AFL,Alta Floresta 
AFN,Municipal
AFO,Municipal
AFR,Afore
AFS,Zarafshan
AFT,Afutara Aerodrome
AFW,Fort Worth Alliance 
AFY,Afyon
AFZ,Sabzevar
AGA,Agadir Al Massira 
AGB,Augsburg 
AGC,Allegheny County 
AGD,Anggi
AGE,Flugplatz
AGF,La Garenne 
AGG,Angoram
AGH,Angelholm Helsingborg 
AGI,Wageningen
AGJ,Aguni
AGK,Kagua
AGL,Wanigela
AGM,Tasiilaq
AGN,Angoon
AGO,Municipal
AGP,Malaga 
AGQ,Agrinion
AGR,Kheria
AGS,Augusta Regional 
AGT,Alejo Garcia 
AGU,Aguascalientes 
AGV,Acarigua
AGW,Agnew
AGX,Agatti Island 
AGZ,Aggeneys
AHA,Naha AFB
AHB,Abha Regional 
AHC,Amedee AAF
AHD,Downtown
AHE,Ahe 
AHF,Municipal
AHH,Municipal
AHI,Amahai
AHJ,Hongyuan 
AHL,Aishalton
AHM,Sumner Parker Field
AHN,Athens-Ben Epps
AHO,Alghero 
AHS,Ahuas
AHU,Charif Al Idrissi 
AHW,Saih Rawl
AHY,Ambatolahy
AHZ,Alpe D Huez
AIA,Alliance 
AIC,Airok
AID,Municipal
AIE,Aiome
AIF,Assis
AIG,Yalinga
AIH,Aiambak
AII,Alisabieh
AIK,Municipal
AIL,Ailigandi
AIM,Ailuk Island
AIN,Wainwright
AIO,Municipal
AIP,Ailinglapalap Island
AIR,Aripuana
AIS,Arorae Island
AIT,Aitutaki 
AIU,Atiu Island
AIV,George Downer
AIW,Ai-ais
AIY,Bader Field
AIZ,Lee C Fine Memorial
AJA,Ajaccio Napoleon Bonaparte 
AJF,Jouf 
AJI,Agri 
AJJ,Akjoujt
AJK,Araak
AJL,Aizawl 
AJN,Ouani
AJR,Arvidsjaur 
AJS,Abreojos
AJU,Aracaju 
AJY,Agades
AKA,Ankang
AKB,Atka
AKC,Fulton
AKD,Akola
AKE,Akieni
AKF,Kufrah
AKG,Anguganak
AKH,Prince Sultan Air Base
AKI,Akiak
AKJ,Asahikawa 
AKK,Akhiok SPB
AKL,Auckland
AKM,Zakouma
AKN,King Salmon 
AKO,Colorado Plains Regional 
